id;post;post_media;caption;text;intents_v1;intents_model;intents_final;notes
@VARUS_channel:10867;"VARUS CAFE гріє тіло та душу смачненьким 😋

Бо ж після ситного, гарного обіду і настрій одразу кращий. Еге ж?

У меню:
🔸 суп гороховий з копченостями;
🔸 солянка збірна мʼясна;
🔸 борщ по-домашньому з мʼясом;
🔸 бульйон з локшиною.

Готові частувати щодня з 11:00 до 20:00. Приходь зігріватися 🧡

Адреси магазинів, де доступні гарячі перші страви за цим посиланням 👈🏻";VARUS_channel_6855.jpg|VARUS_channel_6856.jpg;;А компот? )));"[""availability""]";"[""availability""]";"[""availability""]";"tl-llm; menu item request (v1+model agree)"
@VARUS_channel:21576;"ЗнижКиця вклала свою «шубу» стайлером і вийшла на знижкополювання. І що думаєш? Потрапила під зливу та й промокла до ворсинки. 

🔸Сік, Нектар ТМ Jaffa
🔸Оливки ТМ Ficacci
🔸Чай ТМ Sherlock Secrets
🔸Креветки очищенні з соусом чилі ТМ Delfin
🔸Корм для котів ТМ Brit
🔸Папір туалетний ТМ Velvet
🔸Паста для чищення ТМ The Pink Staff

Головне, що акції для тебе вже в торбі. Забирай, якщо завантажив додаток VARUS і зареєструвався в програмі лояльності VARUS PERFECT 🧡

📍 Акції діють з 23.07 до 29.07.";VARUS_channel_10603.jpg|VARUS_channel_10604.jpg|VARUS_channel_10605.jpg|VARUS_channel_10606.jpg|VARUS_channel_10607.jpg|VARUS_channel_10608.jpg|VARUS_channel_10609.jpg|VARUS_channel_10610.jpg|VARUS_channel_10611.jpg;;страшные;"[""quality""]";;[];verdict: operator (pattern-quiz 03.08): about mascot drawings -> [] (no taxonomy aspect)
@VARUS_channel:414;"Жили-були колись зайві витрати. Постійно згризали велику частку місячного бюджету. І ніхто не міг їм раду дати, бо і сирочку смачного хочеться, і о 22:00 за шоколадкою сходити — то вже традиція 🍫

Та знайшлася в цьому супермаркеті добірка вигідна-превигідна, та й показала, як жити ррраціонально, бюджетно та смачно. Кінець, а більше щасливо-знижкових історій шукай у нашій газеті на VARUS.UA 🧡

Заощаджуй з акційними товарами з 24.04 по 30.04 у мережі VARUS, окрім магазинів формату «VARUS to go» за адресами: м. Дніпро, вул. Акінфієва, 9В; м. Київ, вул. Жилянська, 59.";VARUS_channel_1901.jpg;;Як кава? Хто купував?;"[""taste""]";[];"[""taste""]";"tl-llm; asking how the coffee is"
@VARUS_channel:6969;"Знижки запитували, коли ти забіжиш у гості. Вони вже зібралися в цьому двотижневому каталозі та виглядають тебе з кошиком. То що, коли тебе чекати?

📍 Пропозиції діють з 11.11 по 24.11

Більше акційного шукай у супермаркетах VARUS або на VARUS.UA 🧡";VARUS_channel_5622.jpg|VARUS_channel_5623.jpg|VARUS_channel_5624.jpg|VARUS_channel_5625.jpg|VARUS_channel_5626.jpg;;Як би вони до зарплати почекали (;"[""price""]";"[""price""]";"[""price""]";"tl-llm; wish promos lasted till payday"
@msuaaaa:10694;"🍕 Радісних піц у 🥲😊

Тільки 25.03 📆
Улюблені піци всього за 99 грн/шт:

• Американа, Барбекю
• Гавайська, Пепероні
• Франческо";msuaaaa_9416.jpg;;не радісних а стремних ххаахаха;"[""taste""]";"[""taste""]";"[""taste""]";"tl-llm; pizzas called dubious"
@msuaaaa:11291;"Новинки в McDonald’s вже по всій мережі 🍔

Хто вже дегустував?
Що топ, а що розчарування? 👇";msuaaaa_9631.jpg|msuaaaa_9632.jpg;;А все інше фуфло;"[""taste""]";"[""taste""]";"[""taste""]";"tl-llm; food called junk"
@msuaaaa:11941;"🤩В 😨😰 помітили цілу морозилку з тортами 
Тортики від Vatsak тепер продають у замороженому вигляді.

Бачили вже таке у себе? 🍰";msuaaaa_9949.jpg|msuaaaa_9950.jpg;;Вацак 🤮;"[""taste""]";;"[""taste""]";"tl-llm; disgust emoji at brand cakes"
@msuaaaa:12206;"Пу пу пу… схоже, у Живчика ребрендинг 😎
Оновлені пляшечки вже помітили в 😜🤪

І зараз ще й зі знижкою 🥤
🪙 41.50 грн за 2 літри";msuaaaa_10049.jpg|msuaaaa_10050.jpg;;Ммм хуєта;"[""packaging""]";[];"[""packaging""]";"tl-llm; rebrand vulgar dismissal"
@msuaaaa:12251;"Пу пу пу… схоже, у Живчика ребрендинг 😎
Оновлені пляшечки вже помітили в 😜🤪

І зараз ще й зі знижкою 🥤
🪙 41.50 грн за 2 літри";msuaaaa_10049.jpg|msuaaaa_10050.jpg;;Нагадує якийсь старий дизайн 2000-х;"[""packaging""]";"[""packaging""]";"[""packaging""]";"tl-llm; design compared to 2000s"
@msuaaaa:12279;"Пу пу пу… схоже, у Живчика ребрендинг 😎
Оновлені пляшечки вже помітили в 😜🤪

І зараз ще й зі знижкою 🥤
🪙 41.50 грн за 2 літри";msuaaaa_10049.jpg|msuaaaa_10050.jpg;;Хз , мені навіть краще стало;"[""packaging""]";"[""packaging""]";"[""packaging""]";"tl-llm; rebrand approval"
@msuaaaa:12333;"І ще трохи знижок в АТБ 😜🤪
🗓з 03.05.26 по 09.06.2026";msuaaaa_10099.jpg|msuaaaa_10100.jpg;;Нє норм;"[""quality""]";[];"[""price""]";"tl-llm; promo evaluation under discount catalog; flip from v1 quality, noted"
@msuaaaa:13113;"Знижки в АТБ 😜🤪

🗓з 01.06.26 по 07.07.2026
Вигода до -51%🔣

Більше знижок у коментарях 🗯";msuaaaa_10402.jpg|msuaaaa_10403.jpg|msuaaaa_10404.jpg|msuaaaa_10405.jpg|msuaaaa_10406.jpg|msuaaaa_10407.jpg|msuaaaa_10408.jpg|msuaaaa_10409.jpg|msuaaaa_10410.jpg;;шось не густо;"[""price""]";"[""price""]";"[""price""]";"tl-llm; thin promo (""не густо"")"
@msuaaaa:4009;"Цінотижики в Сільпо 🥲😊
Знижки шалені — до -58%🔥
⠀
📆 Діють до 16 липня 
А більше знижок у коментарях 🗯";msuaaaa_5722.jpg|msuaaaa_5723.jpg|msuaaaa_5724.jpg|msuaaaa_5725.jpg|msuaaaa_5726.jpg|msuaaaa_5727.jpg|msuaaaa_5728.jpg|msuaaaa_5729.jpg|msuaaaa_5730.jpg;;4 штучки 😉;"[""packaging""]";[];"[""packaging""]";"tl-llm; portion remark — image consulted: mochi box marked ""4 шт"" (guideline 4-pieces family)"
@msuaaaa:5405;"🍔В Україні теж буде! McDonald’s запускає колаборацію з BTS. 

Вже сьогодні в мережі з’являються Хеппі Міли з TinyTAN – фігурками учасників популярного південнокорейського гурту. Коли стартують продажі в Україні – поки що невідомо.

Фанати K-pop, ви готові? 👇";msuaaaa_6638.jpg;;Так шо прийдеться ще чекати;"[""availability""]";"[""availability""]";"[""availability""]";"tl-llm; waiting for UA launch"
@msuaaaa:5528;"🥓Сьогодні в закладах KFC
діє купон 5050 - 2 по ціні 1

🍔Грандер Бургер +🍟Картоплі Фрі  

🪙ціна двох наборів ≈ 306 грн 

📆Лише сьогодні 10 вересня";msuaaaa_6740.jpg;;306…;"[""price""]";"[""price""]";"[""price""]";"tl-llm; price shock"
@msuaaaa:5531;"🥓Сьогодні в закладах KFC
діє купон 5050 - 2 по ціні 1

🍔Грандер Бургер +🍟Картоплі Фрі  

🪙ціна двох наборів ≈ 306 грн 

📆Лише сьогодні 10 вересня";msuaaaa_6740.jpg;;Наеб?;"[""price""]";"[""price""]";"[""service""]";"tl-llm; deal-fairness doubt — mechanic honesty family; flip from v1+model price, noted"
@msuaaaa:7551;"❗️ Завтра в АТБ — мінус 50% від ціни 🪙

⏳ Лише 21.11
➡️Цікаво чи залишиться щось до вечора 🤔";msuaaaa_7881.jpg;;Так толкового ничего нету же....;"[""availability""]";"[""price""]";"[""price""]";"tl-llm; nothing worthwhile in promo — value family; flip from v1 availability, noted"
@msuaaaa:7552;"❗️ Завтра в АТБ — мінус 50% від ціни 🪙

⏳ Лише 21.11
➡️Цікаво чи залишиться щось до вечора 🤔";msuaaaa_7881.jpg;;прошлый раз было лучше;"[""price""]";"[""price""]";"[""price""]";"tl-llm; promo compared to last time"
@msuaaaa:8612;"Знайоме борошно з полиць магазину?🌾
Тоді погляньте на карту України на пачці 👀
Нічого не насторожує? 🗺
Бо Одеської області там майже не видно…🤔";msuaaaa_8326.jpg|msuaaaa_8327.jpg;;І також та z😮;"[""packaging""]";[];"[""packaging""]";"tl-llm; the Z on pack — image consulted: Zernari logo, label symbolism"
@msuaaaa:9049;"А ви вже бачили цю новинку? 👀
Сухі соуси від Мрія:
🍝 Карбонара
🍄 Грибна
🍅 Болоньєзе

В 😨😰 зараз по 27 грн 
Кажуть, виходить дуже смачно 🫕";msuaaaa_8565.jpg|msuaaaa_8566.jpg;;Хтось пробував вже ?;"[""taste""]";[];"[""taste""]";"tl-llm; asking who tried"
@msuaaaa:9400;"Знижки в АТБ 😜🤪

🗓з 04.02.26 по 10.02.2026

Вигода до -47%🔣";msuaaaa_8768.jpg|msuaaaa_8769.jpg|msuaaaa_8770.jpg|msuaaaa_8771.jpg|msuaaaa_8772.jpg|msuaaaa_8773.jpg|msuaaaa_8774.jpg|msuaaaa_8775.jpg|msuaaaa_8776.jpg|msuaaaa_8777.jpg;;И всьо?;"[""price""]";[];"[""price""]";"tl-llm; thin promo (""И всьо?"")"
@msuaaaa:9510;"Цінотижики в Сільпо 🏢

Знижки аж до -67% 🔣
🗓 діють з 05.02 по 11.02";msuaaaa_8821.jpg|msuaaaa_8822.jpg|msuaaaa_8823.jpg|msuaaaa_8824.jpg|msuaaaa_8825.jpg|msuaaaa_8826.jpg|msuaaaa_8827.jpg|msuaaaa_8828.jpg|msuaaaa_8829.jpg;;так мало?;"[""price""]";"[""price""]";"[""price""]";"tl-llm; thin promo (""так мало?"")"
